brand,id,value,year,model,version
Land Rover,1463,80852,2008,Discovery3, HSE 2.7 4x4 TDI Diesel Aut.
Land Rover,1463,76954,2007,Discovery3, HSE 2.7 4x4 TDI Diesel Aut.
Land Rover,1464,96991,2009,Discovery3, HSE 4.4 V8 4x4 299cv Aut.
Land Rover,1464,80048,2008,Discovery3, HSE 4.4 V8 4x4 299cv Aut.
Land Rover,1464,72797,2007,Discovery3, HSE 4.4 V8 4x4 299cv Aut.
Land Rover,1465,79014,2009,Discovery3, S 2.7 4x4 TDI Diesel Aut.
Land Rover,1465,72810,2008,Discovery3, S 2.7 4x4 TDI Diesel Aut.
Land Rover,1465,68971,2007,Discovery3, S 2.7 4x4 TDI Diesel Aut.
Land Rover,4201,63615,2009,Discovery3, S 4.0 V6 4x4 215cv Aut.
Land Rover,4201,57818,2008,Discovery3, S 4.0 V6 4x4 215cv Aut.
Land Rover,4201,54680,2007,Discovery3, S 4.0 V6 4x4 215cv Aut.
Land Rover,4417,81629,2009,Discovery3, SE 2.7 4x4 TDI Diesel Aut.
Land Rover,4417,77144,2008,Discovery3, SE 2.7 4x4 TDI Diesel Aut.
Land Rover,5624,178156,2011,Discovery4, B&W 3.0 4x4 TDV6 Diesel Aut.
Land Rover,7353,312052,2016,Discovery4, BLACK 3.0 4x4 SDV6 Dies. Aut.
Land Rover,7704,362277,32000,Discovery4, GRAPHITE 3.0 4x4 SDV6 Die.Aut
Land Rover,7704,302679,2016,Discovery4, GRAPHITE 3.0 4x4 SDV6 Die.Aut
Land Rover,5141,108708,2010,Discovery4, HSE 2.7 4x4 TDV6 Diesel Aut.
Land Rover,5142,379892,32000,Discovery4, HSE 3.0 4x4 TDV6/SDV6 Die.Aut
Land Rover,5142,292853,2016,Discovery4, HSE 3.0 4x4 TDV6/SDV6 Die.Aut
Land Rover,5142,273446,2015,Discovery4, HSE 3.0 4x4 TDV6/SDV6 Die.Aut
Land Rover,5142,238458,2014,Discovery4, HSE 3.0 4x4 TDV6/SDV6 Die.Aut
Land Rover,5142,195087,2013,Discovery4, HSE 3.0 4x4 TDV6/SDV6 Die.Aut
Land Rover,5142,161995,2012,Discovery4, HSE 3.0 4x4 TDV6/SDV6 Die.Aut
Land Rover,5142,136843,2011,Discovery4, HSE 3.0 4x4 TDV6/SDV6 Die.Aut
Land Rover,5142,121390,2010,Discovery4, HSE 3.0 4x4 TDV6/SDV6 Die.Aut
Land Rover,5143,207831,2013,Discovery4, HSE 5.0 4x4 Aut.
Land Rover,5143,137360,2012,Discovery4, HSE 5.0 4x4 Aut.
Land Rover,5143,121407,2011,Discovery4, HSE 5.0 4x4 Aut.
Land Rover,5143,112776,2010,Discovery4, HSE 5.0 4x4 Aut.
Land Rover,5131,110845,2011,Discovery4, S 2.7 4x4 TDV6 Diesel Aut.
Land Rover,5131,106320,2010,Discovery4, S 2.7 4x4 TDV6 Diesel Aut.
Land Rover,5899,325456,32000,Discovery4, S 3.0 4X4 TDV6 Diesel Aut.
Land Rover,5899,254976,2016,Discovery4, S 3.0 4X4 TDV6 Diesel Aut.
Land Rover,5899,232976,2015,Discovery4, S 3.0 4X4 TDV6 Diesel Aut.
Land Rover,5899,199604,2014,Discovery4, S 3.0 4X4 TDV6 Diesel Aut.
Land Rover,5899,159949,2013,Discovery4, S 3.0 4X4 TDV6 Diesel Aut.
Land Rover,5899,136894,2012,Discovery4, S 3.0 4X4 TDV6 Diesel Aut.
Land Rover,5109,106659,2010,Discovery4, SE 2.7 4x4 TDV6 Diesel Aut.
Land Rover,5144,357676,32000,Discovery4, SE 3.0 4x4 TDV6/SDV6 Die.Aut.
Land Rover,5144,286910,2016,Discovery4, SE 3.0 4x4 TDV6/SDV6 Die.Aut.
Land Rover,5144,254569,2015,Discovery4, SE 3.0 4x4 TDV6/SDV6 Die.Aut.
Land Rover,5144,218433,2014,Discovery4, SE 3.0 4x4 TDV6/SDV6 Die.Aut.
Land Rover,5144,176579,2013,Discovery4, SE 3.0 4x4 TDV6/SDV6 Die.Aut.
Land Rover,5144,139049,2012,Discovery4, SE 3.0 4x4 TDV6/SDV6 Die.Aut.
Land Rover,5144,121377,2011,Discovery4, SE 3.0 4x4 TDV6/SDV6 Die.Aut.
Land Rover,5144,111670,2010,Discovery4, SE 3.0 4x4 TDV6/SDV6 Die.Aut.
Land Rover,6177,128627,2014,Freelander2, Dynamique 2.2 SD4 T. Diesel
Land Rover,6177,114973,2013,Freelander2, Dynamique 2.2 SD4 T. Diesel
Land Rover,6177,95654,2012,Freelander2, Dynamique 2.2 SD4 T. Diesel
Land Rover,5557,157736,2015,Freelander2, HSE 2.2 SD4 190cv T.Diesel
Land Rover,5557,135528,2014,Freelander2, HSE 2.2 SD4 190cv T.Diesel
Land Rover,5557,120439,2013,Freelander2, HSE 2.2 SD4 190cv T.Diesel
Land Rover,5557,96469,2012,Freelander2, HSE 2.2 SD4 190cv T.Diesel
Land Rover,5557,81953,2011,Freelander2, HSE 2.2 SD4 190cv T.Diesel
Land Rover,4303,84719,2012,Freelander2, I6 HSE 3.2 232cv Aut. 5p
Land Rover,4303,64722,2011,Freelander2, I6 HSE 3.2 232cv Aut. 5p
Land Rover,4303,57689,2010,Freelander2, I6 HSE 3.2 232cv Aut. 5p
Land Rover,4303,51493,2009,Freelander2, I6 HSE 3.2 232cv Aut. 5p
Land Rover,4303,49149,2008,Freelander2, I6 HSE 3.2 232cv Aut. 5p
Land Rover,4303,43033,2007,Freelander2, I6 HSE 3.2 232cv Aut. 5p
Land Rover,5537,65203,2011,Freelander2, I6 LE Sport 3.2 232cv Aut. 5
Land Rover,4304,65146,2012,Freelander2, I6 S 3.2 232cv Aut. 5p
Land Rover,4304,58058,2011,Freelander2, I6 S 3.2 232cv Aut. 5p
Land Rover,4304,50293,2010,Freelander2, I6 S 3.2 232cv Aut. 5p
Land Rover,4304,45388,2009,Freelander2, I6 S 3.2 232cv Aut. 5p
Land Rover,4304,41604,2008,Freelander2, I6 S 3.2 232cv Aut. 5p
Land Rover,4304,39452,2007,Freelander2, I6 S 3.2 232cv Aut. 5p
Land Rover,5379,80921,2011,Freelander2, I6 S Sport 3.2 232cv Aut. 5p
Land Rover,5379,69188,2010,Freelander2, I6 S Sport 3.2 232cv Aut. 5p
Land Rover,4305,73561,2012,Freelander2, I6 SE 3.2 232cv Aut. 5p
Land Rover,4305,58530,2011,Freelander2, I6 SE 3.2 232cv Aut. 5p
Land Rover,4305,52556,2010,Freelander2, I6 SE 3.2 232cv Aut. 5p
Land Rover,4305,46535,2009,Freelander2, I6 SE 3.2 232cv Aut. 5p
Land Rover,4305,44184,2008,Freelander2, I6 SE 3.2 232cv Aut. 5p
Land Rover,4305,40257,2007,Freelander2, I6 SE 3.2 232cv Aut. 5p
Land Rover,5558,127427,2015,Freelander2, S 2.2 SD4 190cv T.Diesel
Land Rover,5558,113961,2014,Freelander2, S 2.2 SD4 190cv T.Diesel
Land Rover,5558,96068,2013,Freelander2, S 2.2 SD4 190cv T.Diesel
Land Rover,5558,82383,2012,Freelander2, S 2.2 SD4 190cv T.Diesel
Land Rover,5558,77089,2011,Freelander2, S 2.2 SD4 190cv T.Diesel
Land Rover,5559,128904,2015,Freelander2, SE 2.2 SD4 190cv T.Diesel
Land Rover,5559,114965,2014,Freelander2, SE 2.2 SD4 190cv T.Diesel
Land Rover,5559,98738,2013,Freelander2, SE 2.2 SD4 190cv T.Diesel
Land Rover,5559,85238,2012,Freelander2, SE 2.2 SD4 190cv T.Diesel
Land Rover,5559,77427,2011,Freelander2, SE 2.2 SD4 190cv T.Diesel
Land Rover,6385,113808,2013,Freelander2, SI4 Dyn. 2.0 240cv Aut. 5p
Land Rover,6386,162446,2014,Freelander2, SI4 HSE 2.0 240cv Aut. 5p
Land Rover,6386,134275,2013,Freelander2, SI4 HSE 2.0 240cv Aut. 5p
Land Rover,6387,131886,2015,Freelander2, SI4 S 2.0 240cv Aut. 5p
Land Rover,6387,120045,2014,Freelander2, SI4 S 2.0 240cv Aut. 5p
Land Rover,6387,87546,2013,Freelander2, SI4 S 2.0 240cv Aut. 5p
Land Rover,6388,139273,2015,Freelander2, SI4 SE 2.0 240cv Aut. 5p
Land Rover,6388,134239,2014,Freelander2, SI4 SE 2.0 240cv Aut. 5p
Land Rover,6388,103077,2013,Freelander2, SI4 SE 2.0 240cv Aut. 5p
Land Rover,7354,190730,2015,Range, R. EVO DYNAMIQUE BLACK 2.0 Aut. 5p
Land Rover,7355,144222,2015,Range, R. EVO STYLE 2.0 Aut. 5p
Land Rover,7287,194340,2015,Range, R. EVOQUE LONDON 2.0 240cv Aut. 5p
Land Rover,7551,232477,2016,Range, R. EVOQUE SD4 HSE 2.2 Dies. Aut.5p
Land Rover,7374,229232,32000,Range, R. EVOQUE SD4 SE 2.2 Dies. Aut. 5p
Land Rover,7374,200547,2016,Range, R. EVOQUE SD4 SE 2.2 Dies. Aut. 5p
Land Rover,7394,251475,32000,Range, R. EVOQUE SI4 HSE Dynamic 2.0 Aut.
Land Rover,7394,228354,2017,Range, R. EVOQUE SI4 HSE Dynamic 2.0 Aut.
Land Rover,7394,215905,2016,Range, R. EVOQUE SI4 HSE Dynamic 2.0 Aut.
Land Rover,7375,227500,32000,Range, R. EVOQUE SI4 SE 2.0 Aut. 5p
Land Rover,7375,203584,2017,Range, R. EVOQUE SI4 SE 2.0 Aut. 5p
Land Rover,7375,186164,2016,Range, R. EVOQUE SI4 SE 2.0 Aut. 5p
Land Rover,7395,242750,32000,Range, R. EVOQUE SI4 SE Dynamic 2.0 Aut.
Land Rover,7395,216425,2017,Range, R. EVOQUE SI4 SE Dynamic 2.0 Aut.
Land Rover,7395,189147,2016,Range, R. EVOQUE SI4 SE Dynamic 2.0 Aut.
Land Rover,6389,357200,2014,Range, R. Sport Autob. 3.0 SDV6 Diesel
Land Rover,6389,330062,2013,Range, R. Sport Autob. 3.0 SDV6 Diesel
Land Rover,7139,551050,32000,Range, R. Sport Autob. Dyn.SCHA. 5.0 V8
Land Rover,7139,490005,2016,Range, R. Sport Autob. Dyn.SCHA. 5.0 V8
Land Rover,7139,461728,2015,Range, R. Sport Autob. Dyn.SCHA. 5.0 V8
Land Rover,6390,434744,2014,Range, R. Sport Autob. SUPERCHAR. 5.0 V8
Land Rover,6390,377400,2013,Range, R. Sport Autob. SUPERCHAR. 5.0 V8
Land Rover,6641,528020,32000,Range, R. Sport HSE Dynamic SUPERC.5.0 V8
Land Rover,6641,478784,2017,Range, R. Sport HSE Dynamic SUPERC.5.0 V8
Land Rover,6641,444979,2016,Range, R. Sport HSE Dynamic SUPERC.5.0 V8
Land Rover,6641,415177,2015,Range, R. Sport HSE Dynamic SUPERC.5.0 V8
Land Rover,6641,399202,2014,Range, R. Sport HSE Dynamic SUPERC.5.0 V8
Land Rover,6665,412500,32000,Range, R. Sport HSE SUPERCHARGED 3.0 V6
Land Rover,6665,343313,2016,Range, R. Sport HSE SUPERCHARGED 3.0 V6
Land Rover,6665,327400,2015,Range, R. Sport HSE SUPERCHARGED 3.0 V6
Land Rover,6665,316124,2014,Range, R. Sport HSE SUPERCHARGED 3.0 V6
Land Rover,7483,475400,32000,Range, R. Sport HST SUPERCHARGED 3.0 V6
